building,classroom
第一教學大樓,一教1F(e)
第一教學大樓,一教301
第一教學大樓,一教302(e)
第一教學大樓,一教303(e)
第二教學大樓,二教103(e)
第二教學大樓,二教201(e)
第二教學大樓,二教202(e)
第二教學大樓,二教203(e)
第二教學大樓,二教204(e)
第二教學大樓,二教205(e)
第二教學大樓,二教206(e)
第二教學大樓,二教207(e)
第二教學大樓,二教301(e)
第二教學大樓,二教302(e)
第二教學大樓,二教303(e)
第二教學大樓,二教304(e)
第二教學大樓,二教305(e)
第二教學大樓,二教306(e)
第二教學大樓,二教307(e)
第三教學大樓,三教109(e)
第三教學大樓,三教201(e)
第三教學大樓,三教203(e)
第三教學大樓,三教206(e)
第三教學大樓,三教207(e)
第三教學大樓,三教208(e)
第三教學大樓,三教209(e)
第三教學大樓,三教211(e)
第三教學大樓,三教301(e)
第三教學大樓,三教302(e)
第三教學大樓,三教303(e)
第三教學大樓,三教306(e)
第三教學大樓,三教307(e)
第三教學大樓,三教308(e)
第三教學大樓,三教309(e)
第三教學大樓,三教311(e)
第三教學大樓,三教401(e)
第三教學大樓,三教402(e)
第三教學大樓,三教403(e)
第三教學大樓,三教406(e)
第三教學大樓,三教407(e)
第三教學大樓,三教408(e)
第三教學大樓,三教409(e)
第三教學大樓,三教411(e)
第三教學大樓,三教501(e)
第三教學大樓,三教502(e)
第三教學大樓,三教503(e)
第三教學大樓,三教504(e)
第三教學大樓,三教505(e)
第三教學大樓,三教506(e)
第三教學大樓,三教507(e)
第三教學大樓,三教508(e)
第三教學大樓,三教509(e)
第三教學大樓,三教511(e)
第四教學大樓,四教102(e)
第四教學大樓,四教103(e)
第四教學大樓,四教203(e)
第四教學大樓,四教204(e)
第四教學大樓,四教302(e)
第四教學大樓,四教303(e)
第四教學大樓,四教304(e)
第五教學大樓,五教303(e)
第六教學大樓,六教224(e)
第六教學大樓,六教226(e)
第六教學大樓,六教227(e)
第六教學大樓,六教325(e)
第六教學大樓,六教326(e)
第六教學大樓,六教327(e)
第六教學大樓,六教426(e)
第六教學大樓,六教427(e)
第六教學大樓,六教525(e)
第六教學大樓,六教526(e)
第六教學大樓,六教527(e)
第六教學大樓,六教625(e)
第六教學大樓,六教626(e)
第六教學大樓,六教627(e)
第六教學大樓,六教725(e)
第六教學大樓,六教726(e)
第六教學大樓,六教727(e)
綜合科館,思源講堂
綜合科館,綜三演講廳
綜合科館,綜二演講廳
綜合科館,綜科104
綜合科館,綜科110_1
綜合科館,綜科110_2
綜合科館,綜科112
綜合科館,綜科211
綜合科館,綜科216
綜合科館,綜科219
綜合科館,綜科305
綜合科館,綜科306
綜合科館,綜科318
綜合科館,綜科322
綜合科館,綜科327
綜合科館,綜科328
綜合科館,綜科328_1
綜合科館,綜科414
綜合科館,綜科417
綜合科館,綜科421
綜合科館,綜科422
綜合科館,綜科428
綜合科館,綜科501
綜合科館,綜科502
綜合科館,綜科511
綜合科館,綜科513
綜合科館,綜科514
綜合科館,綜科610
綜合科館,綜科715
綜合科館,綜科802
綜合科館,綜科B02
綜合科館,綜科B05
土木館,土木1F_1
土木館,土木1F_2
土木館,土木201
土木館,土木2F
土木館,土木3F
土木館,土木5F_1
土木館,土木5F_2
化學館,化學103
化學館,化學201
化學館,化學207
化學館,化學301
化學工程館,化工101
化學工程館,化工105
化學工程館,化工203
化學工程館,化工205
化學工程館,化工305
設計館,設計106
設計館,設計205
設計館,設計207
設計館,設計251
設計館,設計252
設計館,設計301
設計館,設計306
設計館,設計354
設計館,設計355
設計館,設計401
設計館,設計403
設計館,設計407
設計館,設計409
設計館,設計452
設計館,設計453
設計館,設計501
設計館,設計503
設計館,設計507
設計館,設計509
設計館,設計556
設計館,設計603
設計館,設計701
設計館,設計703
設計館,設計753
設計館,設計B01
設計館,設計B02
設計館,設計B03
億光大樓,億光0612
億光大樓,億光0628
億光大樓,億光0712
億光大樓,億光0713
億光大樓,億光0728
億光大樓,億光0835
億光大樓,億光0935
億光大樓,億光1035
億光大樓,億光1113
億光大樓,億光1115
億光大樓,億光1343
光華館,光華階梯教室
光華館,光華館403
光華館,光華館404
光華館,光華館405
光華館,光華館406
光華館,光華館409
共同科館,共同103A
共同科館,共同301_1
共同科館,共同302
共同科館,共同303A
共同科館,共同303C
共同科館,共同312(e)
共同科館,共同313(e)
共同科館,共同401
共同科館,共同403
共同科館,共同411(e)
共同科館,共同412(e)
共同科館,共同413(e)
共同科館,共同606(e)
共同科館,共同614
共同科館,共同616
共同科館,共同714
共同科館,共同715
共同科館,共同716
科技研究大樓,科研哈佛講堂
科技研究大樓,科研大樓1222
科技研究大樓,科研大樓1223
科技研究大樓,科研大樓231e
科技研究大樓,科研大樓232e
科技研究大樓,科研大樓234e
科技研究大樓,科研大樓235e
科技研究大樓,科研大樓240e
科技研究大樓,科研大樓243e
科技研究大樓,科研大樓332
科技研究大樓,科研大樓334e
科技研究大樓,科研大樓427e
科技研究大樓,科研大樓430
科技研究大樓,科研大樓440
科技研究大樓,科研大樓441
科技研究大樓,科研大樓442
科技研究大樓,科研大樓640
科技研究大樓,科研大樓732
科技研究大樓,科研大樓734
科技研究大樓,科研大樓735
科技研究大樓,科研大樓823
科技研究大樓,科研大樓825
先鋒國際研究大樓,先鋒1401
先鋒國際研究大樓,先鋒1402
先鋒國際研究大樓,先鋒303 (e)
先鋒國際研究大樓,先鋒401 (e)
先鋒國際研究大樓,先鋒402 (e)
先鋒國際研究大樓,先鋒403 (e)
先鋒國際研究大樓,先鋒404 (e)
先鋒國際研究大樓,先鋒501 (e)
先鋒國際研究大樓,先鋒502 (e)
先鋒國際研究大樓,先鋒503 (e)
先鋒國際研究大樓,先鋒504 (e)
先鋒國際研究大樓,先鋒601 (e)
先鋒國際研究大樓,先鋒602 (e)
先鋒國際研究大樓,先鋒603 (e)
先鋒國際研究大樓,先鋒604 (e)
國父百年紀念館,國百館401
國父百年紀念館,國百館402
紡織館,紡織301
紡織館,紡織503
紡織館,紡織504
紡織館,紡織一樓
紡織館,紡織二樓_1
紡織館,紡織二樓_2
材資館,
